ID,cluster
32467,0
32469,0
32477,0
32509,0
32554,0
32555,2
32567,1
32579,0
32581,0
32598,0
32613,0
32619,0
32646,0
32655,2
32665,0
32673,0
32677,0
32711,0
32713,0
32720,0
32738,0
32741,0
32753,0
32765,0
32771,0
32777,0
32779,2
32833,0
32835,2
32881,0
32893,0
32896,0
32904,0
32907,0
32919,0
32968,2
32976,0
33055,2
33084,2
33089,0
33090,0
33095,2
33105,0
33119,2
33134,0
33135,0
33149,0
33152,0
33176,2
33206,0
33213,2
33224,0
33273,0
33287,0
33347,2
33415,0
33462,0
33528,0
33540,2
33547,0
33554,2
33569,0
33592,2
33595,0
33634,0
33649,0
33666,0
33702,0
33715,0
33728,0
33752,0
33753,2
33774,0
33813,0
33863,0
33900,0
33912,0
33916,0
33960,0
33966,0
34031,2
34071,2
34142,0
34171,0
34184,0
34209,0
34232,0
34252,2
34297,0
34298,0
34311,0
34316,0
34324,0
34333,0
34359,2
34365,2
34380,2
34401,2
34413,0
34473,2
34476,0
34484,0
34497,0
34498,0
34506,0
34530,0
34531,0
34549,0
34560,0
34575,0
34593,0
34607,2
34612,2
34638,0
34651,0
34663,0
34668,0
34669,0
34729,0
34730,0
34756,2
34795,0
34826,0
34834,2
34837,0
34856,0
34886,2
34916,0
34927,0
34930,0
34933,2
34935,0
34936,0
34961,2
34968,0
35004,0
35039,2
35046,0
35047,0
35168,0
35181,0
35199,0
35210,0
35213,0
35217,0
35230,0
35239,0
35275,0
35298,0
35384,2
35394,0
35447,2
35458,0
35466,0
35475,0
